date,ICU_Inflow,ICU_Inflow_Lag,ICU_Inflow_SMA3d,ICU_Inflow_SMA7d,Hosp_Inflow,Hosp_Inflow_SMA3d,Hosp_Inflow_SMA7d,Cases,Cases_SMA3d,Cases_SMA7d,Cases_Pct,Cases_Pct_SMA3d,Cases_Pct_SMA7d,RNA,RNA_SMA3d,RNA_SMA7d,Vacc_Est,Vacc_Est_SMA3d,Vacc_Est_SMA7d,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
2020-10-31,4.330733340286331,3.6109179126442243,3.8501476017100584,3.8317421741673425,5.521460917862246,5.625220152153099,5.608424674670435,8.843326450242271,8.881141619321468,8.959642080374696,2.7446680690321754,2.73703853078013,2.865055947234796,31.2478013054106,31.779984351161826,31.57918362209846,0.0,0.0,0.0,0,0,0,0,0,1
2020-11-01,4.060443010546419,4.330733340286331,3.9765615265657175,3.9034146308915463,5.749392985908253,5.626421353498733,5.6240175061873385,8.678971846978863,8.808219665118408,8.90815361332152,2.8099857165963247,2.7608334427007857,2.8288911074835417,31.312233468952694,31.12321955560762,31.58402079981443,0.0,0.0,0.0,0,0,0,0,0,0
2020-11-02,3.8501476017100584,4.060443010546419,4.04305126783455,3.9863350383926983,5.4680601411351315,5.58724865840025,5.647464044065979,8.5657928612523,8.702565645043448,8.863433887432821,2.8905127470688132,2.8168381836887053,2.811274383469303,31.9566286277499,31.559727271532896,31.644541924498988,0.0,0.0,0.0,1,0,0,0,0,0
2020-11-03,4.07753744390572,3.8501476017100584,4.099884742597716,3.981015876915098,5.476463551931511,5.573420656792957,5.6209183301530175,8.879333174786028,8.716535732544495,8.834836204381212,2.7657616205416073,2.8234275277518104,2.790530482250329,31.210468416339662,31.55074533361455,31.653692622350896,0.0,0.0,0.0,0,1,0,0,0,0
2020-11-04,3.912023005428146,4.07753744390572,4.001254139156089,3.9968892260713873,5.8971538676367405,5.634789603169249,5.647967695549806,8.689127655323706,8.719807451477955,8.7868276670331,2.6806830881810417,2.782719234643105,2.7674144938008256,32.10354486278622,31.825927802353526,31.74619931872443,0.0,0.0,0.0,0,0,1,0,0,0
2020-11-05,3.5553480614894135,3.912023005428146,3.9512437185814275,3.9783456483592183,5.4638318050256105,5.633598417799097,5.608424674670435,8.643825842349603,8.742733867330168,8.748554314382934,2.6514367227904847,2.7004790945811155,2.755498647268457,32.318773522839656,31.979318527308866,31.69201996247595,0.0,0.0,0.0,0,0,0,1,0,0
2020-11-06,3.4965075614664802,3.5553480614894135,3.871201010907891,3.9457340627704576,5.564520407322694,5.659482215759621,5.604225193433117,8.54927308487965,8.629092283913646,8.699824224127104,2.5948097159161487,2.6429423147380633,2.738314187024892,31.57107509084705,32.044254229007876,31.76271840222918,0.0,0.0,0.0,0,0,0,0,1,0
2020-11-07,3.6109179126442243,3.4965075614664802,3.672072335797555,3.9346228373453864,5.19295685089021,5.419058984244165,5.566707395619199,8.452121194672523,8.551465785358333,8.644957989146423,2.6067523559544523,2.6179646430665335,2.719619227888289,31.101895345156464,31.790919429554627,31.751061578972728,0.0,0.0,0.0,0,0,0,0,0,1
2020-11-08,3.58351893845611,3.6109179126442243,3.5553480614894135,3.819280953729532,5.5134287461649825,5.436628982345549,5.529995820312084,8.263590432617319,8.428580533059634,8.593413217327646,2.697347371983182,2.6340282692465546,2.7028216452790215,31.93120669943404,31.590561722088832,31.82704324029527,0.0,0.0,0.0,0,0,0,0,0,0
2020-11-09,3.6888794541139363,3.58351893845611,3.5648268054439574,3.747821989747386,5.003946305945459,5.25922997783999,5.4788516127678974,8.119100837637486,8.287612298138022,8.542053037409083,2.713589636987336,2.673656421476175,2.674475871692765,31.786549857469534,31.66622886042029,31.801279796092892,0.0,0.0,0.0,1,0,0,0,0,0
2020-11-10,3.6635616461296463,3.6888794541139363,3.628775530044231,3.7239707739252057,5.176149732573829,5.254017107651457,5.441180086601445,8.553525120663627,8.328692583545568,8.484788056496129,2.535418642609227,2.6519582646963356,2.6417454869915935,30.940076025210377,31.637495814451896,31.782355469749888,0.0,0.0,0.0,0,1,0,0,0,0
2020-11-11,3.58351893845611,3.6635616461296463,3.6463198396951406,3.652511809943062,5.552959584921617,5.271288694160117,5.373292309712538,8.525558107747866,8.418109233192338,8.457988988897933,2.5599756303539842,2.606153750521985,2.6247124452130266,30.89952885327285,31.298140896506382,31.633995565958543,0.0,0.0,0.0,0,0,1,0,0,0
2020-11-12,3.4339872044851463,3.58351893845611,3.6463198396951406,3.5992672954242497,5.438079308923196,5.401174751987744,5.369308240697663,8.52158353971753,8.533656917446903,8.43799536482538,2.6243747285352694,2.573964015500863,2.6207872899846745,30.56536140143817,30.81517369820848,31.367076617204606,0.0,0.0,0.0,0,0,0,1,0,0
2020-11-13,3.4657359027997265,3.4339872044851463,3.5648268054439574,3.58351893845611,5.393627546352362,5.4638318050256105,5.341650491254411,8.452121194672523,8.500318274191393,8.423102268016642,2.5888594054710024,2.591417098066963,2.6199611615052296,31.22057695965168,30.930544776293488,31.313891270318884,0.0,0.0,0.0,0,0,0,0,1,0
2020-11-14,3.4657359027997265,3.4657359027997265,3.4965075614664802,3.579542790076472,5.135798437050262,5.331107189371028,5.334787046329426,8.425954710981966,8.467372496432281,8.419296813138853,2.653672819901072,2.6226530634885763,2.6267109429703575,31.435199949549386,31.136733160317814,31.35859218082651,0.0,0.0,0.0,0,0,0,0,0,1
