date,ICU_Inflow,ICU_Inflow_Lag,ICU_Inflow_SMA7d,Hosp_Inflow,Hosp_Inflow_SMA7d,Cases,Cases_Pct,RNA,Vacc_Est,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
2021-05-02,3.6888794541139363,4.0943445622221,3.8592248198611747,5.560681631015528,5.578651077230048,8.717845704894916,2.5461451074840022,30.981142401311473,15.530684475551196,0,0,0,0,0,0
2021-05-01,4.0943445622221,3.871201010907891,3.825530974074703,5.739792912179234,5.585642232351978,8.924523226133914,2.546606510099701,30.841026163294323,15.512107153204637,0,0,0,0,0,1
2021-04-30,3.871201010907891,3.7376696182833684,3.828641396489095,5.69035945432406,5.545177444479562,8.881697406469304,2.406788709936564,30.43809711262293,15.494624148719673,0,0,0,0,1,0
2021-04-29,3.7376696182833684,3.7376696182833684,3.8129916248219677,5.44673737166631,5.541263545158426,8.896724917497897,2.371548642837222,30.46882369491029,15.476755033041234,0,0,0,1,0,0
2021-04-28,3.7376696182833684,4.04305126783455,3.828641396489095,5.814130531825066,5.576490082331811,8.80792062205398,2.499184860907087,30.803419014621436,15.459545047154824,0,0,1,0,0,0
2021-04-27,4.04305126783455,3.5553480614894135,3.8317421741673425,5.356586274672012,5.572154032177765,8.916237731721479,2.387651356648926,30.770636477836167,15.482056516303214,0,1,0,0,0,0
2021-04-26,3.5553480614894135,3.871201010907891,3.8592248198611747,5.332718793265369,5.5590319193408595,8.648572269472618,2.333829285244416,31.037421135661404,15.465609491963178,1,0,0,0,0,0
2021-04-25,3.871201010907891,3.8918202981106265,3.8830354685548945,5.60947179518496,5.570523153860321,8.712266432135355,2.3865821834594536,31.37204214896686,15.450258843355025,0,0,0,0,0,0
2021-04-24,3.8918202981106265,3.8918202981106265,3.9148760744105515,5.4680601411351315,5.569434422125122,8.83346272071993,2.434451899299959,30.60565399843031,15.432794608792516,0,0,0,0,0,1
2021-04-23,3.8918202981106265,3.6109179126442243,3.920557907877983,5.666426688112432,5.572154032177765,8.958668737047434,2.385309850742171,30.557984838824595,15.41544828621399,0,0,0,0,1,0
2021-04-22,3.6109179126442243,3.8501476017100584,3.926207640420102,5.69035945432406,5.540703164084642,9.029417836095936,2.3176896065638757,30.43103362187562,15.399348366161991,0,0,0,1,0,0
2021-04-21,3.8501476017100584,4.060443010546419,3.9233867640784617,5.7899601708972535,5.501841130992593,9.032767522204432,2.3516493900408078,30.93889819573232,15.381448518348522,0,0,1,0,0,0
2021-04-20,4.060443010546419,3.784189633918261,3.885972328228203,5.236441962829949,5.4626204178393145,9.023649282664286,2.307066615754124,30.65265840012977,15.360582094442972,0,1,0,0,0,0
2021-04-19,3.784189633918261,4.02535169073515,3.8889005880072927,5.429345628954441,5.4853895261005885,8.711278615130434,2.3300719203795235,30.810283213067258,15.336921960153468,1,0,0,0,0,0
2021-04-18,4.02535169073515,4.0943445622221,3.85620822632175,5.602118820879701,5.47944773797184,8.759511722116487,2.392955367422236,31.52006827347195,15.313722341170381,0,0,0,0,0,0
2021-04-17,4.0943445622221,3.9318256327243257,3.8348333667370165,5.488937726156687,5.498923124836878,8.928905412284868,2.4410539801130353,30.873449093823655,15.289016713488882,0,0,0,0,0,1
2021-04-16,3.9318256327243257,3.6635616461296463,3.816141233724863,5.44673737166631,5.510544406120895,8.954415331137593,2.357979294373389,30.401667011666937,15.2631695023557,0,0,0,0,1,0
2021-04-15,3.6635616461296463,3.828641396489095,3.871201010907891,5.429345628954441,5.531694094142277,8.917310693197807,2.206324840644779,31.127474107854738,15.235487971890707,0,0,0,1,0,0
2021-04-14,3.828641396489095,3.8066624897703196,3.9034146308915463,5.564520407322694,5.563425116961279,8.90449432889673,2.2532067334363,31.13458545490592,15.207000399173484,0,0,1,0,0,0
2021-04-13,3.8066624897703196,3.8066624897703196,3.9005286260024103,5.420534999272286,5.53338948872752,8.922391597295857,2.2640981779458036,30.871888043978974,15.176606078381962,0,1,0,0,0,0
2021-04-12,3.8066624897703196,3.8066624897703196,3.937412239432966,5.384495062789089,5.521460917862246,8.666130304190608,2.289811602878586,30.57453935722671,15.080103278213219,1,0,0,0,0,0
2021-04-11,3.8066624897703196,3.970291913552122,3.9594516989992563,5.717027701406222,5.497753534060277,8.836664586357426,2.4745852085770284,30.649987756135715,14.973283181217075,0,0,0,0,0,0
2021-04-10,3.970291913552122,3.8066624897703196,3.9621727891136183,5.568344503761097,5.461407561414102,8.841158975945264,2.3506023749504945,30.790420331775405,14.958429642174266,0,0,0,0,0,1
2021-04-09,3.8066624897703196,4.04305126783455,3.970291913552122,5.594711379601839,5.469866826360079,8.869398159883518,2.2609792684966408,30.828817949493672,14.939998823811262,0,0,0,0,1,0
2021-04-08,4.04305126783455,4.04305126783455,3.981015876915098,5.652489180268651,5.47406977460652,8.905851181208021,2.203866245482749,30.499564886295623,14.919529205899657,0,0,0,1,0,0
2021-04-07,4.04305126783455,3.784189633918261,3.940193882394842,5.332718793265369,5.457150942034776,8.870803443982124,2.128359224160536,30.75719830659111,14.90203508309663,0,0,1,0,0,0
2021-04-06,3.784189633918261,4.060443010546419,3.9567231843460533,5.3230099791384085,5.508230929091367,8.695004592732307,2.202734455140659,30.734651042061227,14.88347324301661,0,1,0,0,0,0
2021-04-05,4.060443010546419,3.970291913552122,3.8947315083180842,5.176149732573829,5.498338500441391,8.504918160540624,2.2471931030450283,30.920585192897157,14.864314063847115,1,0,0,0,0,0
